iter	Passed	Remaining
0	166	33175
1	176	17507
2	187	12291
3	195	9574
4	207	8081
5	213	6903
6	217	5998
7	223	5370
8	229	4876
9	235	4483
10	241	4153
11	247	3883
12	254	3666
13	261	3471
14	267	3296
15	272	3139
16	278	2992
17	284	2876
18	290	2769
19	295	2659
20	301	2572
21	307	2491
22	313	2413
23	320	2350
24	325	2275
25	330	2213
26	336	2158
27	342	2105
28	349	2059
29	356	2022
30	364	1985
31	371	1948
32	378	1913
33	385	1882
34	391	1846
35	398	1814
36	404	1780
37	410	1750
38	417	1722
39	424	1699
40	431	1672
41	436	1641
42	441	1612
43	447	1587
44	454	1564
45	460	1540
46	466	1517
47	474	1501
48	480	1480
49	486	1459
50	492	1438
51	497	1414
52	504	1398
53	509	1376
54	515	1359
55	521	1341
56	527	1323
57	533	1305
58	539	1289
59	545	1273
60	552	1258
61	558	1242
62	564	1228
63	570	1213
64	576	1197
65	581	1179
66	588	1167
67	594	1154
68	600	1140
69	606	1126
70	612	1113
71	619	1101
72	625	1088
73	631	1074
74	636	1060
75	642	1048
76	648	1036
77	653	1021
78	657	1007
79	662	993
80	669	983
81	674	970
82	680	959
83	687	949
84	693	937
85	700	928
86	706	917
87	714	908
88	721	900
89	729	891
90	736	881
91	741	869
92	748	861
93	756	852
94	764	844
95	771	836
96	777	825
97	781	813
98	786	802
99	791	791
100	796	780
101	799	767
102	804	757
103	808	746
104	813	735
105	816	724
106	820	713
107	825	702
108	828	691
109	833	682
110	838	672
111	842	662
112	845	651
113	849	640
114	852	630
115	856	620
116	859	610
117	863	599
118	866	590
119	869	579
120	874	570
121	878	561
122	881	551
123	885	542
124	890	534
125	894	525
126	897	515
127	899	506
128	904	497
129	908	489
130	912	480
131	914	471
132	917	462
133	921	453
134	925	445
135	928	437
136	932	428
137	936	420
138	940	412
139	943	404
140	947	396
141	951	388
142	955	380
143	958	372
144	963	365
145	966	357
146	970	350
147	975	342
148	979	335
149	982	327
150	985	319
151	989	312
152	993	305
153	997	297
154	1002	291
155	1006	283
156	1009	276
157	1013	269
158	1017	262
159	1020	255
160	1024	248
161	1028	241
162	1030	233
163	1034	227
164	1037	220
165	1041	213
166	1045	206
167	1048	199
168	1052	193
169	1056	186
170	1059	179
171	1062	173
172	1066	166
173	1070	159
174	1074	153
175	1076	146
176	1080	140
177	1083	133
178	1087	127
179	1090	121
180	1093	114
181	1097	108
182	1101	102
183	1104	96
184	1107	89
185	1111	83
186	1114	77
187	1118	71
188	1121	65
189	1124	59
190	1128	53
191	1132	47
192	1134	41
193	1138	35
194	1142	29
195	1146	23
196	1148	17
197	1151	11
198	1155	5
199	1157	0
